point,step,Privacy cost,Privacy cost difference,Sum of differences
9,0,1.3168833548614988e-05,2.4272168358442077e-06,259.6636355696906
9,200,8.269521005763476,8.269437365966931,259.6636355696906
9,500,7.2148485722631985e-16,-0.00022513434215957852,259.6636355696906
9,700,8.122696235598992,8.122545845561275,259.6636355696906
9,900,7.824507667549151e-07,-0.00025495165842344506,259.6636355696906
9,1200,7.97840473345178,7.967575109728577,259.6636355696906
9,1400,7.921403175478455,2.772858810255042,259.6636355696906
9,1600,7.864836501161021,7.38252137518337,259.6636355696906
9,1900,7.780709656381981,7.780606591983736,259.6636355696906
9,2100,7.725071324461882,7.724877311449833,259.6636355696906
9,2300,7.669928553130003,7.116199740315906,259.6636355696906
9,2600,3.239055856442265e-11,-1.1061821482436911e-05,259.6636355696906
9,2800,2.9588316567958595e-17,-0.0001890623491346704,259.6636355696906
9,3000,7.479911635661667,7.47980997073439,259.6636355696906
9,3300,7.3998907936209,7.3998798775897825,259.6636355696906
9,3500,1.8334033837717463e-11,-2.866472089265959e-06,259.6636355696906
9,3700,3.704068873037991e-06,-3.8355495802895506e-05,259.6636355696906
9,4000,2.4048316595289905e-17,-0.0005121592509536759,259.6636355696906
9,4200,9.794495189141765,8.189827626125407,259.6636355696906
9,4400,9.724594100760772,9.724443211715922,259.6636355696906
9,4600,9.65508911164252,9.65493776111143,259.6636355696906
9,4900,9.551819520585056,9.551134382089568,259.6636355696906
9,5100,9.48363511664718,9.483520952497402,259.6636355696906
9,5300,9.4158825992635,9.415764284880378,259.6636355696906
9,5600,9.315121019820948,9.314925902375908,259.6636355696906
9,5800,2.2545775582492905e-17,-0.00011146635927057745,259.6636355696906
9,6000,6.61548780199074e-14,-0.0004767879655099451,259.6636355696906
9,6300,9.084377412922574,9.084318796003819,259.6636355696906
9,6500,9.01945370489479,9.019386659884312,259.6636355696906
9,6700,8.95500298191478,8.954895149083983,259.6636355696906
9,7000,8.859255226821174,6.923559423099884,259.6636355696906
9,7200,11.486741972073228,7.787588497452839,259.6636355696906
9,7400,11.404705561792047,11.404671290723009,259.6636355696906
9,7700,11.282671837138391,11.2826292076708,259.6636355696906
9,7900,11.202107600870407,11.202093870902543,259.6636355696906
9,8100,11.122035015392091,7.174700187213398,259.6636355696906
9,8400,11.003137628782255,9.833405835042564,259.6636355696906
9,8600,1.1216102741754934e-16,-2.1399250686351534,259.6636355696906
9,8800,10.846529599190273,10.8464057627285,259.6636355696906
9,9100,10.730514911340784,10.287002739709754,259.6636355696906
9,9300,10.653923404653302,10.653856517743488,259.6636355696906
