Point,Average MAE
0,0.803953031837761
1,0.4083042757826624
2,0.7449249975225367
3,0.6924152569897171
4,0.7433028053009122
5,0.6626209087330484
6,0.6453847761941618
7,0.657829096276163
8,0.5198664283436183
9,0.7727780075447893
Overall Average,0.665137958452537
