point,step,Privacy cost
9.0,200,8.36397965451445e-05
9.0,500,0.00022513434216034725
9.0,700,0.0001503900377174026
9.0,900,0.0002557341091902975
9.0,1200,0.010829623723202295
9.0,1400,5.148544365223413
9.0,1600,0.4823151259776506
9.0,1900,0.00010306439824463422
9.0,2100,0.0001940130120488638
9.0,2300,0.5537288128140966
9.0,2600,1.1061853872995477e-05
9.0,2800,0.0001890623491347429
9.0,3000,0.00010166492727683603
9.0,3300,1.0916031116966371e-05
9.0,3500,2.866490423299797e-06
9.0,3700,4.20595646759335e-05
9.0,4000,0.0005121592509537711
9.0,4200,1.604667563016358
9.0,4400,0.00015088904485056277
9.0,4600,0.0001513505310888503
9.0,4900,0.0006851384954871231
9.0,5100,0.00011416414977767513
9.0,5300,0.00011831438312038442
9.0,5600,0.00019511744504031883
9.0,5800,0.00011146635927063724
9.0,6000,0.0004767879655761985
9.0,6300,5.8616918755137334e-05
9.0,6500,6.704501047884344e-05
9.0,6700,0.00010783283079609354
9.0,7000,1.9356958037212906
9.0,7200,3.6991534746203887
9.0,7400,3.427106903836725e-05
9.0,7700,4.2629467590641175e-05
9.0,7900,1.372996786517117e-05
9.0,8100,3.9473348281786933
9.0,8400,1.169731793739691
9.0,8600,2.1399250686351534
9.0,8800,0.00012383646177356613
9.0,9100,0.443512171631029
9.0,9300,6.688690981427746e-05
