Point_Run,MAE
"(0, 0)",0.6593464109621759
"(0, 1)",0.7370159930209488
"(0, 2)",0.7569714757585652
"(0, 3)",0.7652378148114135
"(0, 4)",0.8605994801435156
"(0, 5)",0.733049798804847
"(0, 6)",0.6798379805082981
"(0, 7)",0.6394709488885497
"(0, 8)",0.744155643192594
"(1, 0)",0.6356011592597396
"(1, 1)",0.4973210104681738
"(1, 2)",0.5165366215265388
"(1, 3)",0.6125385485227379
"(1, 4)",0.40727217629483536
"(1, 5)",0.6714804801841192
"(1, 6)",0.6200078543421037
"(1, 7)",0.7578219497110555
"(1, 8)",0.8825685412277825
"(2, 0)",0.8916177341404711
"(2, 1)",1.252995848209388
"(2, 2)",1.3107353913049957
"(2, 3)",0.693415478320797
"(2, 4)",0.8975827400696241
"(2, 5)",0.9999079586761861
"(2, 6)",1.253174453860589
"(2, 7)",0.9107367112845715
"(2, 8)",0.8880467969051481
"(3, 0)",1.0216923285270711
"(3, 1)",1.1722275727189622
"(3, 2)",0.9120383970682551
"(3, 3)",0.902305413777325
"(3, 4)",0.6900712181286155
"(3, 5)",0.9012103965965429
"(3, 6)",0.9249689474152701
"(3, 7)",0.7347919202122566
"(3, 8)",0.9001321373160602
"(4, 0)",0.742116743660574
"(4, 1)",0.9049822818534049
"(4, 2)",1.023375712424126
"(4, 3)",0.8653876550872307
"(4, 4)",0.9102754376338711
"(4, 5)",0.8650945815066695
"(4, 6)",0.8319143458302022
"(4, 7)",0.6948794062658046
"(4, 8)",0.882053682415808
"(5, 0)",0.8099188015133281
"(5, 1)",0.9329984560624703
"(5, 2)",0.832506208431865
"(5, 3)",0.9818694115770888
"(5, 4)",0.7615672307474816
"(5, 5)",0.7861791692370451
"(5, 6)",0.7687504534735604
"(5, 7)",0.798009075478356
"(5, 8)",0.8137157785976837
"(6, 0)",0.9959507416142123
"(6, 1)",0.8370872540165366
"(6, 2)",1.052222778701563
"(6, 3)",0.8500650611834702
"(6, 4)",0.7581827157969653
"(6, 5)",0.8805466000920102
"(6, 6)",0.7902906771397054
"(6, 7)",0.906679513002004
"(6, 8)",0.9105543231171501
"(7, 0)",0.8271119994885383
"(7, 1)",0.864318538184206
"(7, 2)",0.9767088353808073
"(7, 3)",0.8975699628643213
"(7, 4)",0.9704365674854237
"(7, 5)",0.8412355055365947
"(7, 6)",0.9375137138960512
"(7, 7)",1.0687753901287071
"(7, 8)",0.9993084104048161
"(8, 0)",0.6967685606209226
"(8, 1)",0.7994425431346377
"(8, 2)",0.6228778571793113
"(8, 3)",0.817966684244266
"(8, 4)",0.7590401406614526
"(8, 5)",1.0873498311043632
"(8, 6)",0.7261552030853914
"(8, 7)",0.6442735551500731
"(8, 8)",0.5336011184934777
"(9, 0)",1.1596614831892968
"(9, 1)",0.8725608859030378
"(9, 2)",1.0020518555485645
"(9, 3)",1.093549869804378
"(9, 4)",1.052845338867257
"(9, 5)",0.5886581146124276
"(9, 6)",0.8963546338143854
"(9, 7)",0.8606102001633749
"(9, 8)",0.7313117331838308
Point 0 Average,0.7306317273434342
Point 1 Average,0.6223498157263428
Point 2 Average,1.0109125680857523
Point 3 Average,0.9066042590844844
Point 4 Average,0.8577866496308546
Point 5 Average,0.8317238427909864
Point 6 Average,0.8868421849626241
Point 7 Average,0.9314421025966073
Point 8 Average,0.7430528326304329
Point 9 Average,0.9175115683429502
Overall Average,0.8438857551194469
