point,step,Privacy cost,Privacy cost difference,Sum of differences
5,0,1.1093789389085576e-05,-8.259597380122206e-07,175.1143400341986
5,200,8.26957549209329,5.164544076901268,175.1143400341986
5,500,8.181092372957616,7.608210785749704,175.1143400341986
5,700,8.122678396068919,2.51959095839784,175.1143400341986
5,900,8.064589399058502,8.064253903483053,175.1143400341986
5,1200,7.978378449469665,7.978339133188281,175.1143400341986
5,1400,7.921413613975519,4.897502679109989,175.1143400341986
5,1600,7.86484686510193,5.398463129501502,175.1143400341986
5,1900,1.887013722248394e-07,-0.00013569967600747515,175.1143400341986
5,2100,7.725125616944286,7.7248046422397705,175.1143400341986
5,2300,7.669945398351297,7.189436789116163,175.1143400341986
5,2600,7.587896555648972,7.587772902101196,175.1143400341986
5,2800,7.533706485540576,6.793433883065551,175.1143400341986
5,3000,7.479919849584672,4.960213709082581,175.1143400341986
5,3300,7.399916797042805,3.1030300219242273,175.1143400341986
5,3500,2.3704967362486477e-15,-4.775242432067185,175.1143400341986
5,3700,3.8136250968141714e-13,-0.00010019788545873749,175.1143400341986
5,4000,9.864944298351972,2.5699350175429165,175.1143400341986
5,4200,9.794512892397083,5.940084762962831,175.1143400341986
5,4400,9.724566759037517,9.724517487706189,175.1143400341986
5,4600,9.655124014173577,9.65461982797721,175.1143400341986
5,4900,9.55186364127771,9.551728572163237,175.1143400341986
5,5100,9.483631307467242,4.820839505149751,175.1143400341986
5,5300,9.415818305840189,8.055656795667014,175.1143400341986
5,5600,1.95118541060603e-12,-1.375067771214463,175.1143400341986
5,5800,9.248657832687227,5.6091672856954435,175.1143400341986
5,6000,9.182584028411682,9.182078483599517,175.1143400341986
5,6300,9.084351871228932,5.415447146709448,175.1143400341986
5,6500,9.019470007262925,5.232416931610711,175.1143400341986
5,6700,8.95505153966353,4.136404010424144e-06,175.1143400341986
5,7000,8.859237434820367,8.859065663358354,175.1143400341986
5,7200,7.896853569769373e-09,-7.155012997250438e-05,175.1143400341986
5,7400,11.404658402043502,10.500082923119175,175.1143400341986
5,7700,2.407027138485799e-17,-2.210071666880012,175.1143400341986
5,7900,2.3898338538307584e-17,-2.1943003289009213,175.1143400341986
5,8100,1.2067559703042363,-1.4755918858311898,175.1143400341986
5,8400,8.521973762910795e-11,-2.156577077204437,175.1143400341986
5,8600,10.924534507075856,6.2009883829700545,175.1143400341986
5,8800,10.846454166901465,3.2493045722165137,175.1143400341986
5,9100,5.223394196706537,-4.907758868081776,175.1143400341986
5,9300,10.653887359594266,10.65372422931626,175.1143400341986
