point,step,Privacy cost,Privacy cost difference,Sum of differences
5,0,1.17588680543453e-05,-1.6088107275249684e-07,129.9984906798567
5,200,8.269604551509081,5.164573136317059,129.9984906798567
5,500,8.181090576171748,7.608208988963836,129.9984906798567
5,700,8.122678396068919,2.51959095839784,129.9984906798567
5,900,1.0934062507076512e-10,-0.00033549546610867493,129.9984906798567
5,1200,4.778950186730502e-06,-3.4537331197643e-05,129.9984906798567
5,1400,7.921425792226437,4.897514857360907,129.9984906798567
5,1600,7.864857229046563,5.398473493446136,129.9984906798567
5,1900,3.0558357480847287e-17,-0.00013588837737966945,129.9984906798567
5,2100,7.725152763224327,7.724831788519811,129.9984906798567
5,2300,7.669910023397725,7.1894014141625915,129.9984906798567
5,2600,1.1965158195246619e-10,-0.00012365342812441804,129.9984906798567
5,2800,7.533708140143082,6.793435537668056,129.9984906798567
5,3000,7.479926420725127,4.9602202802230355,129.9984906798567
5,3300,7.399929798763403,3.103043023644825,129.9984906798567
5,3500,7.347045007685776,2.5718025756185883,129.9984906798567
5,3700,1.684595742164105e-06,-9.851329009793589e-05,129.9984906798567
5,4000,9.864934392460944,2.569925111651888,129.9984906798567
5,4200,9.794522727542834,5.9400945981085815,129.9984906798567
5,4400,3.193496771195787e-12,-4.9271328134639045e-05,129.9984906798567
5,4600,2.3536660722496025e-17,-0.0005041861963668764,129.9984906798567
5,4900,3.2711864862166686e-10,-0.00013506878735395137,129.9984906798567
5,5100,7.480809637706991e-06,-4.6627843215078535,129.9984906798567
5,5300,2.295347132220125e-17,-1.3601615101731743,129.9984906798567
5,5600,9.315147210429808,7.940079439213394,129.9984906798567
5,5800,9.248654117890752,5.609163570898968,129.9984906798567
5,6000,4.6368373717880677e-17,-0.0005055448121654536,129.9984906798567
5,6300,9.084373764107772,5.415469039588287,129.9984906798567
5,6500,9.019495366519466,5.232442290867253,129.9984906798567
5,6700,8.955062330285232,1.4927025711486408e-05,129.9984906798567
5,7000,0.1073531586287052,0.1071813871666934,129.9984906798567
5,7200,11.4866987911472,11.486627233120373,129.9984906798567
5,7400,11.404660545666715,10.500085066742388,129.9984906798567
5,7700,11.28270364759628,9.072631980716269,129.9984906798567
5,7900,11.202196034076335,9.007895705175414,129.9984906798567
5,8100,1.4729113925838108e-06,-2.6823463832240337,129.9984906798567
5,8400,4.6214162315857634e-17,-2.156577077289657,129.9984906798567
5,8600,10.9245920017145,6.201045877608697,129.9984906798567
5,8800,10.846501057223636,3.2493514625386846,129.9984906798567
5,9100,10.730494742270272,0.5993416774819593,129.9984906798567
5,9300,1.6976853872672605e-13,-0.00016313027783633146,129.9984906798567
