point,step,Privacy cost,Privacy cost difference,Sum of differences
2,0,7.36550943043361e-06,-1.6089195177706326e-06,142.54898548209755
2,200,8.269499211258985,5.438767192553717,142.54898548209755
2,500,8.181151666936366,7.6785069415896,142.54898548209755
2,700,3.1901394992527706e-17,-0.0002177607146392681,142.54898548209755
2,900,3.09180348945522e-06,-3.023872903342276e-05,142.54898548209755
2,1200,1.7121776659273297e-11,-0.0005580595764077234,142.54898548209755
2,1400,1.2475376343723114e-10,-5.574273859293428e-05,142.54898548209755
2,1600,7.864815773291047,7.3637486074302485,142.54898548209755
2,1900,0.0001040434813062,6.475331635765553e-05,142.54898548209755
2,2100,3.0340080532341755e-17,-2.7041459464721516e-05,142.54898548209755
2,2300,3.0123362726196135e-17,-5.407049558972227e-05,142.54898548209755
2,2600,5.7914519592139394e-08,-5.383636427122971e-05,142.54898548209755
2,2800,7.533759432856798,7.533660989368028,142.54898548209755
2,3000,7.47992313515471,7.479870294828193,142.54898548209755
2,3300,7.399908670970934,7.399722970111624,142.54898548209755
2,3500,7.347049848501516,7.346838657414308,142.54898548209755
2,3700,7.294550982894308,7.294510716805493,142.54898548209755
2,4000,9.86498788430402,9.86486913571913,142.54898548209755
2,4200,2.3876540570970004e-17,-3.247379492547614e-05,142.54898548209755
2,4400,2.370599153475409e-17,-6.364566880809464e-05,142.54898548209755
2,4600,2.3536660722496025e-17,-0.00011731674089687646,142.54898548209755
2,4900,9.663245807322645e-16,-6.169953220883274e-05,142.54898548209755
2,5100,2.934411692635047e-15,-3.082639619102376e-05,142.54898548209755
2,5300,4.000462144726514e-16,-6.25935370497015e-05,142.54898548209755
2,5600,9.31519959171306,9.315139256764526,142.54898548209755
2,5800,2.2545775582492905e-17,-2.908600960214784e-06,142.54898548209755
2,6000,9.182569275368996,9.182507156624707,142.54898548209755
2,6300,9.084298963502311,9.084240110451201,142.54898548209755
2,6500,2.1987138250718268e-17,-6.03662497294927e-05,142.54898548209755
2,6700,8.955024563127319,8.954538864626091,142.54898548209755
2,7000,7.544441226485758e-12,-5.7376967743555173e-05,142.54898548209755
2,7200,7.373764693124822,7.369180790365876,142.54898548209755
2,7400,2.4330492702733028e-17,-6.910270816771151e-05,142.54898548209755
2,7700,11.282661233658764,11.282582059469762,142.54898548209755
2,7900,1.0858409516642334e-11,-0.0001271829915989905,142.54898548209755
2,8100,4.497885895000374e-12,-0.03704141983980451,142.54898548209755
2,8400,7.04120444160676e-14,-1.3489162143470285e-05,142.54898548209755
2,8600,2.3306187515334845e-17,-6.619383172097006e-05,142.54898548209755
2,8800,2.3139712484884218e-17,-3.4215182981192566e-05,142.54898548209755
2,9100,10.730494742270272,10.694826196868584,142.54898548209755
2,9300,10.653845307074558,9.304249957992546,142.54898548209755
