point,step,Privacy cost,Privacy cost difference,Sum of differences
1,0,1.3493571432216393e-05,1.2593966505799292e-06,106.0039280044443
1,200,1.7427051577290817e-14,-1.4106007309677586e-05,106.0039280044443
1,500,5.245496747805591e-13,-2.9597384364239416e-05,106.0039280044443
1,700,3.703871617864968e-10,-1.1638376432983574e-05,106.0039280044443
1,900,3.167352478861893e-17,-1.788143563310049e-05,106.0039280044443
1,1200,7.978460806024061,7.978457871933447,106.0039280044443
1,1400,7.921425792226437,7.921414360843243,106.0039280044443
1,1600,1.126034278423717e-15,-3.957292316384833e-06,106.0039280044443
1,1900,3.7110717532324e-13,-2.6527455570495802e-06,106.0039280044443
1,2100,3.0340080532341755e-17,-2.632948479193483e-06,106.0039280044443
1,2300,7.6699369757393985,7.66992600349727,106.0039280044443
1,2600,2.980118506858717e-17,-1.0870826589740214e-05,106.0039280044443
1,2800,2.9588316567958595e-17,-1.2025455288097793e-05,106.0039280044443
1,3000,2.937696857739163e-17,-2.548916285627971e-06,106.0039280044443
1,3300,1.3432404721937072e-08,-2.5463703731900012e-06,106.0039280044443
1,3500,3.007132764140767e-11,-2.570969409856249e-05,106.0039280044443
1,3700,1.892125993762465e-05,-1.2131269143337177e-05,106.0039280044443
1,4000,9.864958166603357,9.864945247695992,106.0039280044443
1,4200,1.0688226368528983e-10,-1.2844080642066185e-05,106.0039280044443
1,4400,2.370599153475409e-17,-3.102859150652937e-06,106.0039280044443
1,4600,1.782061454703271e-16,-2.5752507197003154e-09,106.0039280044443
1,4900,9.551829112034705,9.551816610244336,106.0039280044443
1,5100,4.64620083610014e-12,-1.2414238724447984e-05,106.0039280044443
1,5300,2.295347132220125e-17,-1.2323848266832848e-05,106.0039280044443
1,5600,2.2707977627098265e-17,-2.432997602903403e-17,106.0039280044443
1,5800,9.248672691880753,9.248643064571251,106.0039280044443
1,6000,2.238473213966645e-17,-3.825308957038673e-06,106.0039280044443
1,6300,2.214532126653893e-17,-5.279287176253919e-10,106.0039280044443
1,6500,2.0859909761705092e-08,-3.1805595734329057e-06,106.0039280044443
1,6700,8.955047942790474,8.955045152112534,106.0039280044443
1,7000,2.159660635829266e-17,-1.1595315077190148e-05,106.0039280044443
1,7200,11.486677200703951,11.486663121907121,106.0039280044443
1,7400,2.946055427926768e-12,-3.4671193954946315e-05,106.0039280044443
1,7700,2.407027138485799e-17,-3.387705725232885e-05,106.0039280044443
1,7900,11.20217918963874,11.20214081731554,106.0039280044443
1,8100,11.122095640137095,11.122082008218817,106.0039280044443
1,8400,11.003104538374894,11.00309105154951,106.0039280044443
1,8600,2.7528249047409862e-14,-3.186903938517456e-06,106.0039280044443
1,8800,2.3139712484884218e-17,-1.329416608371185e-05,106.0039280044443
1,9100,2.2892226889272352e-17,-1.3151981072700043e-05,106.0039280044443
1,9300,7.274719549140182e-06,7.204496342551013e-06,106.0039280044443
