point,step,Privacy cost,Privacy cost difference,Sum of differences
1,0,1.731576576624893e-05,5.081590984612467e-06,23.114307243038272
1,200,5.241255387798232e-08,-1.4053594773226656e-05,23.114307243038272
1,500,8.181126511900784,8.181096914515894,23.114307243038272
1,700,2.215244468788397e-11,-1.1638724667700673e-05,23.114307243038272
1,900,1.6535944984996898e-06,-1.622784113463247e-05,23.114307243038272
1,1200,3.3347789162325304e-15,-2.934090610923473e-06,23.114307243038272
1,1400,3.1110944909671523e-17,-1.1431383193813184e-05,23.114307243038272
1,1600,3.0888720854515867e-17,-3.957292317479979e-06,23.114307243038272
1,1900,3.0558357480847287e-17,-2.652745928126197e-06,23.114307243038272
1,2100,3.0340080532341755e-17,-2.632948479193483e-06,23.114307243038272
1,2300,3.0123362726196135e-17,-1.0972242128124653e-05,23.114307243038272
1,2600,2.980118506858717e-17,-1.0870826589740214e-05,23.114307243038272
1,2800,7.533752814436561,7.533740788981272,23.114307243038272
1,3000,1.085612520609973e-14,-2.5489162748012227e-06,23.114307243038272
1,3300,7.399908670970934,7.399906111168156,23.114307243038272
1,3500,2.8855179747770305e-17,-2.5709724169861275e-05,23.114307243038272
1,3700,3.671903363767043e-12,-3.1052525409058464e-05,23.114307243038272
1,4000,2.4048316595289905e-17,-1.2918907364122622e-05,23.114307243038272
1,4200,2.3876540570970004e-17,-1.2844187524305994e-05,23.114307243038272
1,4400,4.9105268179133657e-17,-3.1028591506275373e-06,23.114307243038272
1,4600,2.3536660722496025e-17,-2.5752508743698e-09,23.114307243038272
1,4900,2.328492965619922e-17,-1.2501790368355386e-05,23.114307243038272
1,5100,2.3118606469831414e-17,-1.2414243370625702e-05,23.114307243038272
1,5300,2.295347132220125e-17,-1.2323848266832848e-05,23.114307243038272
1,5600,2.2707977627098265e-17,-2.432997602903403e-17,23.114307243038272
1,5800,2.2545775582492905e-17,-2.96273095018537e-05,23.114307243038272
1,6000,2.238473213966645e-17,-3.825308957038673e-06,23.114307243038272
1,6300,2.214532126653893e-17,-5.279287176253919e-10,23.114307243038272
1,6500,2.1987138250718268e-17,-3.2014194831726236e-06,23.114307243038272
1,6700,2.183008512877793e-17,-2.7906779398412413e-06,23.114307243038272
1,7000,2.159660635829266e-17,-1.1595315077190148e-05,23.114307243038272
1,7200,2.4505534614606916e-17,-1.407879683056041e-05,23.114307243038272
1,7400,2.4330492702733028e-17,-3.467119690097741e-05,23.114307243038272
1,7700,2.407027138485799e-17,-3.387705725232885e-05,23.114307243038272
1,7900,2.3898338538307584e-17,-3.83723232002145e-05,23.114307243038272
1,8100,2.37276338002089e-17,-1.3631918278271369e-05,23.114307243038272
1,8400,2.347386022392764e-17,-1.348682538282323e-05,23.114307243038272
1,8600,2.3306187515334845e-17,-3.1869039660223986e-06,23.114307243038272
1,8800,2.3139712484884218e-17,-1.329416608371185e-05,23.114307243038272
1,9100,2.2892226889272352e-17,-1.3151981072700043e-05,23.114307243038272
1,9300,2.272870876062233e-17,-7.022320656644033e-08,23.114307243038272
