point,step,Privacy cost,Privacy cost difference,Sum of differences
1,0,1.442082675144817e-05,2.186651969811706e-06,30.412120339112157
1,200,4.5839572213827526e-08,-1.406016775489081e-05,30.412120339112157
1,500,1.3427698649217353e-07,-2.946310790229692e-05,30.412120339112157
1,700,3.1901394992527706e-17,-1.163874682011346e-05,30.412120339112157
1,900,4.109879792268668e-15,-1.7881435629022283e-05,30.412120339112157
1,1200,3.133476772086378e-17,-2.934090614226917e-06,30.412120339112157
1,1400,1.798292796697477e-08,-1.141340026587732e-05,30.412120339112157
1,1600,3.0888720854515867e-17,-3.957292317479979e-06,30.412120339112157
1,1900,5.83386824634356e-17,-2.652745928098417e-06,30.412120339112157
1,2100,6.987044727684408e-14,-2.6329484093533758e-06,30.412120339112157
1,2300,3.0123362726196135e-17,-1.0972242128124653e-05,30.412120339112157
1,2600,2.980118506858717e-17,-1.0870826589740214e-05,30.412120339112157
1,2800,2.498508729287112e-06,-9.52694655884027e-06,30.412120339112157
1,3000,2.937696857739163e-17,-2.548916285627971e-06,30.412120339112157
1,3300,2.9062773810587905e-17,-2.5598027778828754e-06,30.412120339112157
1,3500,2.4758417511114447e-12,-2.570972169404838e-05,30.412120339112157
1,3700,2.5076616490957324e-14,-3.1052529055885215e-05,30.412120339112157
1,4000,2.4048316595289905e-17,-1.2918907364122622e-05,30.412120339112157
1,4200,9.79454043081294,9.794527586625415,30.412120339112157
1,4400,2.370599153475409e-17,-3.102859150652937e-06,30.412120339112157
1,4600,2.3536660722496025e-17,-2.5752508743698e-09,30.412120339112157
1,4900,2.328492965619922e-17,-1.2501790368355386e-05,30.412120339112157
1,5100,2.3118606469831414e-17,-1.2414243370625702e-05,30.412120339112157
1,5300,9.41591285503714,9.415900531188873,30.412120339112157
1,5600,2.2707977627098265e-17,-2.432997602903403e-17,30.412120339112157
1,5800,2.2545775582492905e-17,-2.96273095018537e-05,30.412120339112157
1,6000,2.238473213966645e-17,-3.825308957038673e-06,30.412120339112157
1,6300,2.214532126653893e-17,-5.279287176253919e-10,30.412120339112157
1,6500,2.1987138250718268e-17,-3.2014194831726236e-06,30.412120339112157
1,6700,2.183008512877793e-17,-2.7906779398412413e-06,30.412120339112157
1,7000,2.159660635829266e-17,-1.1595315077190148e-05,30.412120339112157
1,7200,2.4505534614606916e-17,-1.407879683056041e-05,30.412120339112157
1,7400,2.4330492702733028e-17,-3.467119690097741e-05,30.412120339112157
1,7700,2.407027138485799e-17,-3.387705725232885e-05,30.412120339112157
1,7900,11.202149711893192,11.202111339569992,30.412120339112157
1,8100,2.37276338002089e-17,-1.3631918278271369e-05,30.412120339112157
1,8400,2.347386022392764e-17,-1.348682538282323e-05,30.412120339112157
1,8600,2.3306187515334845e-17,-3.1869039660223986e-06,30.412120339112157
1,8800,2.3139712484884218e-17,-1.329416608371185e-05,30.412120339112157
1,9100,2.2892226889272352e-17,-1.3151981072700043e-05,30.412120339112157
1,9300,2.272870876062233e-17,-7.022320656644033e-08,30.412120339112157
