point,step,Privacy cost,Privacy cost difference,Sum of differences
1,0,1.1093973801664049e-05,-1.140200979972415e-06,77.83923608843335
1,200,4.064750635970901e-07,-1.3699532263507548e-05,77.83923608843335
1,500,1.1593336860718494e-07,-2.9481451520181908e-05,77.83923608843335
1,700,3.1901394992527706e-17,-1.163874682011346e-05,77.83923608843335
1,900,8.064690357954682,8.064672476519048,77.83923608843335
1,1200,3.0760171260428564e-10,-2.9337830125456476e-06,77.83923608843335
1,1400,3.1110944909671523e-17,-1.1431383193813184e-05,77.83923608843335
1,1600,7.864839955807573,7.864835998515255,77.83923608843335
1,1900,7.780701112141775,7.780698459395847,77.83923608843335
1,2100,3.0340080532341755e-17,-2.632948479193483e-06,77.83923608843335
1,2300,3.0123362726196135e-17,-1.0972242128124653e-05,77.83923608843335
1,2600,7.249096275354904e-11,-1.0870754098807263e-05,77.83923608843335
1,2800,1.0793785110895989e-08,-1.2014661503016486e-05,77.83923608843335
1,3000,2.937696857739163e-17,-2.548916285627971e-06,77.83923608843335
1,3300,2.9062773810587905e-17,-2.5598027778828754e-06,77.83923608843335
1,3500,7.347009508400712,7.346983798676542,77.83923608843335
1,3700,7.294579820316385,7.294548767787305,77.83923608843335
1,4000,8.050109736913262e-11,-1.2918826863049302e-05,77.83923608843335
1,4200,9.79454829893621,9.794535454748685,77.83923608843335
1,4400,9.813508221915431e-10,-3.101877799854451e-06,77.83923608843335
1,4600,4.87545114965991e-17,-2.5752508491519492e-09,77.83923608843335
1,4900,9.551829112034705,9.551816610244336,77.83923608843335
1,5100,2.3118606469831414e-17,-1.2414243370625702e-05,77.83923608843335
1,5300,2.295347132220125e-17,-1.2323848266832848e-05,77.83923608843335
1,5600,3.4548565961228074e-16,2.9844770595614844e-16,77.83923608843335
1,5800,2.2545775582492905e-17,-2.96273095018537e-05,77.83923608843335
1,6000,2.238473213966645e-17,-3.825308957038673e-06,77.83923608843335
1,6300,2.214532126653893e-17,-5.279287176253919e-10,77.83923608843335
1,6500,9.019455516269035,9.019452314849552,77.83923608843335
1,6700,2.183008512877793e-17,-2.7906779398412413e-06,77.83923608843335
1,7000,2.159660635829266e-17,-1.1595315077190148e-05,77.83923608843335
1,7200,2.4505534614606916e-17,-1.407879683056041e-05,77.83923608843335
1,7400,2.4330492702733028e-17,-3.467119690097741e-05,77.83923608843335
1,7700,2.407027138485799e-17,-3.387705725232885e-05,77.83923608843335
1,7900,2.3898338538307584e-17,-3.83723232002145e-05,77.83923608843335
1,8100,11.122070554022978,11.122056922104699,77.83923608843335
1,8400,2.347386022392764e-17,-1.348682538282323e-05,77.83923608843335
1,8600,2.424571819954688e-15,-3.186903963621133e-06,77.83923608843335
1,8800,2.3139712484884218e-17,-1.329416608371185e-05,77.83923608843335
1,9100,2.2892226889272352e-17,-1.3151981072700043e-05,77.83923608843335
1,9300,2.272870876062233e-17,-7.022320656644033e-08,77.83923608843335
