point,step,Privacy cost,Privacy cost difference,Sum of differences
1,0,1.0023354418919692e-05,-2.210820362716771e-06,34.90526482002869
1,200,2.826000020651416e-06,-1.1280007306453223e-05,34.90526482002869
1,500,0.0001332524262616,0.00010365504137281092,34.90526482002869
1,700,1.9560417676383567e-12,-1.1638744864103593e-05,34.90526482002869
1,900,4.789420869551758e-15,-1.788143562834274e-05,34.90526482002869
1,1200,3.133476772086378e-17,-2.934090614226917e-06,34.90526482002869
1,1400,3.1110944909671523e-17,-1.1431383193813184e-05,34.90526482002869
1,1600,3.0888720854515867e-17,-3.957292317479979e-06,34.90526482002869
1,1900,3.0558357480847287e-17,-2.652745928126197e-06,34.90526482002869
1,2100,3.0340080532341755e-17,-2.632948479193483e-06,34.90526482002869
1,2300,3.9661514760318116e-14,-1.0972242088493262e-05,34.90526482002869
1,2600,2.980118506858717e-17,-1.0870826589740214e-05,34.90526482002869
1,2800,2.9588316567958595e-17,-1.2025455288097793e-05,34.90526482002869
1,3000,7.967389962656184e-16,-2.548916284860609e-06,34.90526482002869
1,3300,2.9062773810587905e-17,-2.5598027778828754e-06,34.90526482002869
1,3500,7.34704662129116,7.3470209115669896,34.90526482002869
1,3700,7.294589432797738,7.294558380268658,34.90526482002869
1,4000,2.4048316595289905e-17,-1.2918907364122622e-05,34.90526482002869
1,4200,2.3876540570970004e-17,-1.2844187524305994e-05,34.90526482002869
1,4400,2.903186800360081e-08,-3.073827282673042e-06,34.90526482002869
1,4600,2.3536660722496025e-17,-2.5752508743698e-09,34.90526482002869
1,4900,2.328492965619922e-17,-1.2501790368355386e-05,34.90526482002869
1,5100,2.3118606469831414e-17,-1.2414243370625702e-05,34.90526482002869
1,5300,2.295347132220125e-17,-1.2323848266832848e-05,34.90526482002869
1,5600,2.2707977627098265e-17,-2.432997602903403e-17,34.90526482002869
1,5800,7.633355447215455e-16,-2.962730950111291e-05,34.90526482002869
1,6000,2.238473213966645e-17,-3.825308957038673e-06,34.90526482002869
1,6300,2.214532126653893e-17,-5.279287176253919e-10,34.90526482002869
1,6500,2.1987138250718268e-17,-3.2014194831726236e-06,34.90526482002869
1,6700,2.183008512877793e-17,-2.7906779398412413e-06,34.90526482002869
1,7000,8.85926234362477,8.859250748309693,34.90526482002869
1,7200,2.4505534614606916e-17,-1.407879683056041e-05,34.90526482002869
1,7400,11.40470984904514,11.40467517784824,34.90526482002869
1,7700,2.407027138485799e-17,-3.387705725232885e-05,34.90526482002869
1,7900,1.02185239797961e-05,-2.8153799220442302e-05,34.90526482002869
1,8100,2.37276338002089e-17,-1.3631918278271369e-05,34.90526482002869
1,8400,2.347386022392764e-17,-1.348682538282323e-05,34.90526482002869
1,8600,2.3306187515334845e-17,-3.1869039660223986e-06,34.90526482002869
1,8800,2.3139712484884218e-17,-1.329416608371185e-05,34.90526482002869
1,9100,2.2892226889272352e-17,-1.3151981072700043e-05,34.90526482002869
1,9300,2.272870876062233e-17,-7.022320656644033e-08,34.90526482002869
