point,step,Privacy cost,Privacy cost difference,Sum of differences
3,0,9.21926098470092e-06,-1.0293487728385939e-06,-0.3252244089950624
3,200,0.0001174449915098,-1.2746537063342076,-0.3252244089950624
3,500,4.902663092264289e-10,-6.643986783693733e-05,-0.3252244089950624
3,700,7.961774233935652e-05,-2.924540174354347e-05,-0.3252244089950624
3,900,3.167352478861893e-17,-2.8538242516646674e-05,-0.3252244089950624
3,1200,1.0537139845485373e-11,-3.139285234429898e-05,-0.3252244089950624
3,1400,3.1110944909671523e-17,-6.176405885320105e-05,-0.3252244089950624
3,1600,2.989587312428586e-12,-5.5409290087727044e-05,-0.3252244089950624
3,1900,5.6755203939428486e-15,-2.9186465054410356e-06,-0.3252244089950624
3,2100,6.812727174080371e-16,-2.7023430553357627e-05,-0.3252244089950624
3,2300,3.0123362726196135e-17,-5.414296359108136e-05,-0.3252244089950624
3,2600,2.980118506858717e-17,-1.1040116540037375e-07,-0.3252244089950624
3,2800,2.9588316567958595e-17,-1.3946961342384828e-05,-0.3252244089950624
3,3000,2.937696857739163e-17,-5.6470012555304005e-06,-0.3252244089950624
3,3300,1.3532885023625628e-10,-8.041463130445083e-06,-0.3252244089950624
3,3500,4.290432956726669e-13,-1.0840722132939142e-05,-0.3252244089950624
3,3700,2.864906852004808e-17,-5.398564942087903e-05,-0.3252244089950624
3,4000,2.4048316595289905e-17,-0.00011947617193587596,-0.3252244089950624
3,4200,2.3876540570970004e-17,-0.00012143341839937613,-0.3252244089950624
3,4400,6.868685013283514e-07,-2.663580426620053e-06,-0.3252244089950624
3,4600,4.87545114965991e-17,-3.092944475249474e-05,-0.3252244089950624
3,4900,2.328492965619922e-17,-6.16334528211128e-05,-0.3252244089950624
3,5100,2.3118606469831414e-17,-5.073440146866485e-06,-0.3252244089950624
3,5300,8.756667332736528e-14,-7.295255826400603e-05,-0.3252244089950624
3,5600,0.9511852521825356,0.951136877448372,-0.3252244089950624
3,5800,2.2545775582492905e-17,-0.00013234959017207744,-0.3252244089950624
3,6000,2.238473213966645e-17,-2.7936522372402663e-05,-0.3252244089950624
3,6300,1.7825639082201305e-13,-5.984655188479306e-05,-0.3252244089950624
3,6500,2.1987138250718268e-17,-5.220753916101752e-05,-0.3252244089950624
3,6700,4.521946205246874e-17,-5.778277350693576e-05,-0.3252244089950624
3,7000,2.159660635829266e-17,-2.841898021051875e-05,-0.3252244089950624
3,7200,2.4505534614606916e-17,-3.3519110706638627e-06,-0.3252244089950624
3,7400,2.4330492702733028e-17,-0.00012946591860587566,-0.3252244089950624
3,7700,4.134821306330151e-15,-3.421038193757455e-05,-0.3252244089950624
3,7900,2.3898338538307584e-17,-6.829692611530868e-05,-0.3252244089950624
3,8100,2.37276338002089e-17,-7.015170899771857e-05,-0.3252244089950624
3,8400,2.347386022392764e-17,-1.613908457604764e-05,-0.3252244089950624
3,8600,2.3306187515334845e-17,-3.2817767894620836e-05,-0.3252244089950624
3,8800,2.3139712484884218e-17,-6.571941853999251e-05,-0.3252244089950624
3,9100,2.2892226889272352e-17,-3.225757650280642e-05,-0.3252244089950624
3,9300,2.272870876062233e-17,-3.198908967953155e-05,-0.3252244089950624
