point,step,Privacy cost,Privacy cost difference,Sum of differences
3,0,8.765237000649137e-06,-1.4833727568903764e-06,142.64532841450662
3,200,8.269571859668172,6.994800708342455,142.64532841450662
3,500,8.181020501623783,8.180954061265679,142.64532841450662
3,700,8.122649852842473,8.12254098969839,142.64532841450662
3,900,6.095765284079053e-08,-2.8477284863837555e-05,142.64532841450662
3,1200,3.133476772086378e-17,-3.1392862881407494e-05,142.64532841450662
3,1400,6.061562904840509e-07,-6.115790256274812e-05,142.64532841450662
3,1600,1.4601940767589238e-16,-5.540929307716833e-05,142.64532841450662
3,1900,3.0558357480847287e-17,-2.9186465110859977e-06,142.64532841450662
3,2100,8.642325969818555e-17,-2.7023430553952475e-05,142.64532841450662
3,2300,3.0123362726196135e-17,-5.414296359108136e-05,142.64532841450662
3,2600,2.980118506858717e-17,-1.1040116540037375e-07,142.64532841450662
3,2800,9.830683928986289e-11,-1.3946863035575127e-05,142.64532841450662
3,3000,2.937696857739163e-17,-5.6470012555304005e-06,142.64532841450662
3,3300,3.156296497940256e-13,-8.041598143665669e-06,142.64532841450662
3,3500,4.981704429483685e-09,-1.0835740857552954e-05,142.64532841450662
3,3700,7.294536564194527,7.2944825785451055,142.64532841450662
3,4000,4.981437009024356e-17,-0.00011947617193585018,142.64532841450662
3,4200,9.794483386976529,9.794361953558129,142.64532841450662
3,4400,9.207367319898463e-12,-3.3504397205810847e-06,142.64532841450662
3,4600,9.65514340448442,9.655112475039667,142.64532841450662
3,4900,2.328492965619922e-17,-6.16334528211128e-05,142.64532841450662
3,5100,9.48361226157522,9.483607188135073,142.64532841450662
3,5300,9.415863689419917,9.415790736861565,142.64532841450662
3,5600,2.6365034977004048e-11,-4.8374707798480756e-05,142.64532841450662
3,5800,9.24865040309393,9.248518053503757,142.64532841450662
3,6000,9.182537925177858,9.182509988655486,142.64532841450662
3,6300,2.214532126653893e-17,-5.984655206302731e-05,142.64532841450662
3,6500,8.30407096433383e-15,-5.2207539152735434e-05,142.64532841450662
3,6700,2.183008512877793e-17,-5.7782773506959144e-05,142.64532841450662
3,7000,2.159660635829266e-17,-2.841898021051875e-05,142.64532841450662
3,7200,2.4505534614606916e-17,-3.3519110706638627e-06,142.64532841450662
3,7400,11.40469270003673,11.404563234118124,142.64532841450662
3,7700,11.282695164805263,11.28266095442332,142.64532841450662
3,7900,11.202111811970523,11.202043515044409,142.64532841450662
3,8100,2.37276338002089e-17,-7.015170899771857e-05,142.64532841450662
3,8400,2.347386022392764e-17,-1.613908457604764e-05,142.64532841450662
3,8600,2.3306187515334845e-17,-3.2817767894620836e-05,142.64532841450662
3,8800,2.3139712484884218e-17,-6.571941853999251e-05,142.64532841450662
3,9100,10.730494742270272,10.730462484693769,142.64532841450662
3,9300,10.653871339580926,10.653839350491246,142.64532841450662
