point,step,Privacy cost,Privacy cost difference,Sum of differences
3,0,1.2166343412865578e-05,1.9177336553260646e-06,107.26473782918958
3,200,8.269622713657744,6.994851562332027,107.26473782918958
3,500,3.1748343312686466e-11,-6.644032635490325e-05,107.26473782918958
3,700,8.12270693932182,8.122598076177736,107.26473782918958
3,900,3.167352478861893e-17,-2.8538242516646674e-05,107.26473782918958
3,1200,1.8380200140219225e-06,-2.9554842867416905e-05,107.26473782918958
3,1400,7.921392736985873,7.92133097292702,107.26473782918958
3,1600,7.864860683694842,7.864805274401765,107.26473782918958
3,1900,1.1575135409411874e-16,-2.918646511000805e-06,107.26473782918958
3,2100,3.0340080532341755e-17,-2.702343055400856e-05,107.26473782918958
3,2300,7.669938660261283,7.669884517297692,107.26473782918958
3,2600,1.0583936030419445e-15,-1.1040116437178133e-07,107.26473782918958
3,2800,2.9588316567958595e-17,-1.3946961342384828e-05,107.26473782918958
3,3000,1.971680397315072e-08,-5.627284451586626e-06,107.26473782918958
3,3300,2.9062773810587905e-17,-8.041598459266255e-06,107.26473782918958
3,3500,2.8855179747770305e-17,-1.0840722561953583e-05,107.26473782918958
3,3700,2.864906852004808e-17,-5.398564942087903e-05,107.26473782918958
3,4000,1.0156548853485769e-13,-0.00011947617183433451,107.26473782918958
3,4200,2.3876540570970004e-17,-0.00012143341839937613,107.26473782918958
3,4400,2.370599153475409e-17,-3.3504489279246985e-06,107.26473782918958
3,4600,2.3536660722496025e-17,-3.0929444752519963e-05,107.26473782918958
3,4900,9.551829112034705,9.551767478581883,107.26473782918958
3,5100,2.3118606469831414e-17,-5.073440146866485e-06,107.26473782918958
3,5300,9.415859907452395,9.415786954894044,107.26473782918958
3,5600,2.2707977627098265e-17,-4.837473416349303e-05,107.26473782918958
3,5800,5.410986139798314e-16,-0.0001323495901715589,107.26473782918958
3,6000,8.703372583177921e-10,-2.793565203516673e-05,107.26473782918958
3,6300,2.867835469954939e-07,-5.955976851605396e-05,107.26473782918958
3,6500,9.01946638451439,9.019414176975229,107.26473782918958
3,6700,8.955017369388095,8.954959586614589,107.26473782918958
3,7000,8.859260564424096,8.859232145443885,107.26473782918958
3,7200,11.486700950192793,11.486697598281722,107.26473782918958
3,7400,11.404684125535123,11.404554659616517,107.26473782918958
3,7700,2.407027138485799e-17,-3.42103819416853e-05,107.26473782918958
3,7900,2.3898338538307584e-17,-6.829692611530868e-05,107.26473782918958
3,8100,2.37276338002089e-17,-7.015170899771857e-05,107.26473782918958
3,8400,1.5771499837951383e-16,-1.61390845759134e-05,107.26473782918958
3,8600,2.3306187515334845e-17,-3.2817767894620836e-05,107.26473782918958
3,8800,2.3139712484884218e-17,-6.571941853999251e-05,107.26473782918958
3,9100,6.41223829408827e-10,-3.2256935278999895e-05,107.26473782918958
3,9300,2.272870876062233e-17,-3.198908967953155e-05,107.26473782918958
