Point,Average MAE
0,1.090022578129617
1,0.9051810268145827
2,1.4517946456103044
3,1.3371738872786336
4,1.3962353981866304
5,1.1543848096946872
6,1.358252488604379
7,1.3772913839284757
8,1.1636079391062177
9,1.314705809900098
Overall Average,1.2548649967253624
